geometry,address
POINT (-121.452273 38.654861),"Taylor Street, 95838, Sacramento, California, United States"
POINT (-121.4811592 38.5229352),"Brentley Drive, 95822, Sacramento, California, United States"
POINT EMPTY,
POINT (-121.3847435 38.6176864),"Marconi Avenue, 95821, California, United States"
POINT (-121.430741 38.629942),"Marysville Blvd Barcon Way Alley, 95838, Sacramento, California, United States"
POINT (-121.4569203 38.6411188),"Norwood Avenue, 95838, Sacramento, California, United States"
POINT (-121.54662189878053 38.6443169),"3761, Po River Way, 95834, Po River Way, Sacramento, CA, United States"
POINT EMPTY,
POINT (-121.2488244 38.7106043),"Citrus Wood Lane, 95661, Citrus Heights, California, United States"
POINT (-121.2783515 38.670093),"Cal Court, 95610, Citrus Heights, California, United States"
POINT (-121.3360961 38.6172105),"Marconi Avenue, 95608, California, United States"
POINT (-121.4488342 38.6111327),"El Camino Avenue, 95815, Sacramento, California, United States"
POINT (-121.454921 38.6079672),"Del Paso Blvd Calvados Avenue Alley, 95815, Sacramento, California, United States"
POINT (-121.454921 38.6079672),"Del Paso Blvd Calvados Avenue Alley, 95815, Sacramento, California, United States"
POINT (-121.329695 38.567312),"Explorer Drive, 95827, Rancho Cordova, California, United States"
POINT (-121.54067400867015 38.50880095),"Westlake Apartments, 1, Shoal Court, 95831, Shoal Court, Sacramento, CA, United States"
POINT (-121.5165091 38.5854667),"180, 7th Street, 95605, 7th Street, West Sacramento, CA, United States"
POINT (-121.5249506 38.5897112),"954, Sacramento Avenue, 95605, Sacramento Avenue, West Sacramento, CA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-121.5505534475414 38.57308985),"1276, Halyard Drive, 95691, Halyard Drive, West Sacramento, CA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-121.50686259048322 38.57956525),"Embassy Suites by Hilton Sacramento - Riverfront Promenade, 100, Capitol Mall, 95814, Capitol Mall, Sacramento, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-121.498502 38.5695611),"923, T Street, 95811, T Street, Sacramento, CA, United States"
