geometry,address
POINT (-72.77810630816322 41.649973349999996),"New Britain High School, 110, Mill Street, 06051, Mill Street, New Britain, CT, United States"
POINT (-72.7795118 41.656564),"160, Bassett Street, 06051, Bassett Street, New Britain, CT, United States"
POINT (-72.77355544696772 41.67521135),"Willow Street Park, 43, Willow Street, 06051, Willow Street, New Britain, CT, United States"
POINT (-72.8266354 41.5340643),"220, Coe Avenue, 06451, Coe Avenue, Meriden, CT, United States"
POINT (-72.7877667 41.6995597),"757, Farmington Avenue, 06053, Farmington Avenue, New Britain, CT, United States"
POINT (-72.7835975 41.5356397),"64, North Pearl Street, 06450, North Pearl Street, Meriden, CT, United States"
POINT (-72.7614519 41.665307),"New Britain Adult Education, 40, Goodwin Street, 06051, Goodwin Street, New Britain, CT, United States"
POINT (-72.8063123 41.6598821),"New Britain Transitional Center, 183, Steele Street, 06052, Steele Street, New Britain, CT, United States"
POINT (-72.77668 41.6599491),"175, Maple Street, 06051, Maple Street, New Britain, CT, United States"
POINT (-72.7580094 41.660463),"142, Rutherford Street, 06051, Rutherford Street, New Britain, CT, United States"
POINT (-72.7766823 41.5552203),"1355, North Broad Street, 06450, North Broad Street, Meriden, CT, United States"
POINT (-72.7792603 41.51742),"70, Overlook Road, 06450, Overlook Road, Meriden, CT, United States"
POINT (-72.79284 41.6543258),"183, Vance Street, 06052, Vance Street, New Britain, CT, United States"
POINT (-72.7769978 41.5050363),"883, Paddock Avenue, 06450, Paddock Avenue, Meriden, CT, United States"
POINT (-72.763845 41.6646135),"233, Pleasant Street, 06051, Pleasant Street, New Britain, CT, United States"
POINT (-72.7794406 41.5512902),"1225, North Broad Street, 06450, North Broad Street, Meriden, CT, United States"
POINT EMPTY,
POINT (-72.8010538 41.5361366),"43, Street Casimer Drive, 06450, Street Casimer Drive, Meriden, CT, United States"
POINT (-73.4409285 41.4064942),"72, Hospital Avenue, 06810, Hospital Avenue, Danbury, CT, United States"
