geometry,address
POINT (-117.14732909630264 32.732120699999996),"San Diego Natural History Museum, Plaza de Balboa, 92134, Plaza de Balboa, San Diego, CA, United States"
POINT (-117.10622080334983 32.78477565),"Mission Basilica San Diego de Alcala, Booth Hill Road, 92116, Booth Hill Road, San Diego, California, United States"
POINT (-117.143709 32.788546),"2371, Casement Street, 92123, Casement Street, San Diego, California, United States"
POINT (-117.222587 32.834206),"2889, Luna Avenue, 92117, Luna Avenue, San Diego, CA, United States"
POINT (-117.169273 32.787482),"6985, Linda Vista Road, 92111, Linda Vista Road, San Diego, California, United States"
POINT (-117.169379 32.787305),"6979, Linda Vista Road, 92111, Linda Vista Road, San Diego, California, United States"
POINT (-117.1676463 32.7898409),"Linda Vista, 92111, San Diego, California, United States"
POINT (-117.16873 32.788157),"7011, Linda Vista Road, 92111, Linda Vista Road, San Diego, California, United States"
POINT (-117.048776 32.609849),"1353, Judson Way, 91911, Judson Way, Chula Vista, California, United States"
POINT (-117.09140395116098 32.70225955),"Lincoln High School, 4777, Imperial Avenue, 92113, Imperial Avenue, San Diego, California, United States"
POINT (-117.03491753183995 32.598720650000004),"480, Tamarack Street, 91911, Tamarack Street, Chula Vista, CA, United States"
POINT (-117.06078324365852 32.566715099999996),"San Ysidro Health Beyer Senior Health Services, 3364, Beyer Boulevard, 92173, Beyer Boulevard, San Diego, CA, United States"
POINT (-117.11604935555276 32.69585615),"3629, National Avenue, 92113, National Avenue, San Diego, CA, United States"
POINT (-117.12540505000001 32.7007964),"Health & Human Services Agency, 3177A, Ocean View Boulevard, 92113, Ocean View Boulevard, San Diego, California, United States"
POINT (-117.05016634692416 33.13664285),"Escondido Union High School District, 302, North Midway Drive, North Midway Drive, Escondido, California, United States"
POINT (-117.0853427 32.6961831),"950, South Euclid Avenue, 92114, South Euclid Avenue, San Diego, CA, United States"
